web-scraper-order,web-scraper-start-url,category_link,category_link-href,subcategory_link,subcategory_link-href,product_link,product_link-href,name,entero,decimal
"1572320447-232","https://www.plazavea.com.pe/frutas-y-verduras","Verduras","https://www.plazavea.com.pe/frutas-y-verduras/verduras?PS=24","Zapallo, Berenjena y Caigua (6)","https://www.plazavea.com.pe/frutas-y-verduras/verduras/zapallo-berenjena-y-caigua?PS=24","Cayhua Chilena x unidad","https://www.plazavea.com.pe/cayhua-chilena-x-unidad/p","Cayhua Chilena x unidad","3",".50"
"1572320525-249","https://www.plazavea.com.pe/frutas-y-verduras","Frutas","https://www.plazavea.com.pe/frutas-y-verduras/frutas?PS=24","Sandía, Melón y Tuna (3)","https://www.plazavea.com.pe/frutas-y-verduras/frutas/sandia-melon-y-tuna?PS=24","Sandía","https://www.plazavea.com.pe/sandia-1un-12-sandia/p","Sandía","1",".99"
"1572320578-261","https://www.plazavea.com.pe/frutas-y-verduras","Frutas","https://www.plazavea.com.pe/frutas-y-verduras/frutas?PS=24","Fresas, Arándanos, Aguaymanto y Frutas Berries (7)","https://www.plazavea.com.pe/frutas-y-verduras/frutas/fresas-arandanos-aguaymanto-y-frutas-berries?PS=24","Aguaymanto con Capullo LA FLORENCIA Bandeja 200g","https://www.plazavea.com.pe/aguaymanto-con-capullo-la-florencia-bandeja-200g/p","Aguaymanto con Capullo LA FLORENCIA Bandeja 200g","3",".99"
"1572320719-286","https://www.plazavea.com.pe/frutas-y-verduras","Frutas","https://www.plazavea.com.pe/frutas-y-verduras/frutas?PS=24","Chirimoya, Lúcuma, Carambola y Frutas Exóticas (10)","https://www.plazavea.com.pe/frutas-y-verduras/frutas/chirimoya-lucuma-carambola-y-frutas-exoticas?PS=24","Cocona","https://www.plazavea.com.pe/cocona/p","Cocona","5",".99"
"1572320154-182","https://www.plazavea.com.pe/frutas-y-verduras","Verduras","https://www.plazavea.com.pe/frutas-y-verduras/verduras?PS=24","Choclo, Arvejas, Vainitas, Habas y Otras Legumbres (6)","https://www.plazavea.com.pe/frutas-y-verduras/verduras/choclo-arvejas-vainitas-habas-y-otras-legumbres?PS=24","Maíz Morado","https://www.plazavea.com.pe/maiz-morado/p","Maíz Morado","5",".99"
"1572320234-200","https://www.plazavea.com.pe/frutas-y-verduras","Verduras","https://www.plazavea.com.pe/frutas-y-verduras/verduras?PS=24","Lechuga, Espinaca y Hojas Verdes (19)","https://www.plazavea.com.pe/frutas-y-verduras/verduras/lechuga-espinaca-y-hojas-verdes?PS=24","Lechuga Entera VERDE PURO","https://www.plazavea.com.pe/lechuga-entera-verde-puro/p","Lechuga Entera VERDE PURO","6",".99"
"1572320268-201","https://www.plazavea.com.pe/frutas-y-verduras","Verduras","https://www.plazavea.com.pe/frutas-y-verduras/verduras?PS=24","Lechuga, Espinaca y Hojas Verdes (19)","https://www.plazavea.com.pe/frutas-y-verduras/verduras/lechuga-espinaca-y-hojas-verdes?PS=24","Lechuga Seda Hidropónica LA FLORENCIA Bolsa 120g","https://www.plazavea.com.pe/lechuga-seda-hidroponica-la-florencia-bolsa-120g/p","Lechuga Seda Hidropónica LA FLORENCIA Bolsa 120g","2",".29"
"1572319919-139","https://www.plazavea.com.pe/frutas-y-verduras","Verduras","https://www.plazavea.com.pe/frutas-y-verduras/verduras?PS=24","Verduras Picadas y Preparadas (23)","https://www.plazavea.com.pe/frutas-y-verduras/verduras/verduras-picadas-y-preparadas?PS=24","Ensalada Rusa Precocida GREEN FOOD Bolsa 400g","https://www.plazavea.com.pe/ensalada-rusa-precocida-green-food-bolsa-400g/p","Ensalada Rusa Precocida GREEN FOOD Bolsa 400g","7",".39"
"1572320004-151","https://www.plazavea.com.pe/frutas-y-verduras","Verduras","https://www.plazavea.com.pe/frutas-y-verduras/verduras?PS=24","Hongos y Setas (6)","https://www.plazavea.com.pe/frutas-y-verduras/verduras/hongos-y-setas?PS=24","Champiñón Crimini Picado PACCU Bandeja 200g","https://www.plazavea.com.pe/champinon-crimini-picado-paccu-bandeja-200g/p","Champiñón Crimini Picado PACCU Bandeja 200g","6",".49"
"1572320163-184","https://www.plazavea.com.pe/frutas-y-verduras","Verduras","https://www.plazavea.com.pe/frutas-y-verduras/verduras?PS=24","Choclo, Arvejas, Vainitas, Habas y Otras Legumbres (6)","https://www.plazavea.com.pe/frutas-y-verduras/verduras/choclo-arvejas-vainitas-habas-y-otras-legumbres?PS=24","Choclo x unidad","https://www.plazavea.com.pe/choclo-x-unidad/p","Choclo x unidad","1",".99"
"1572320056-162","https://www.plazavea.com.pe/frutas-y-verduras","Verduras","https://www.plazavea.com.pe/frutas-y-verduras/verduras?PS=24","Zanahoria, Beterraga, Rabanito y Otras Raíces (5)","https://www.plazavea.com.pe/frutas-y-verduras/verduras/zanahoria-beterraga-rabanito-y-otras-raices?PS=24","Zanahoria Entera","https://www.plazavea.com.pe/zanahoria-entera/p","Zanahoria Entera","1",".99"
"1572319993-148","https://www.plazavea.com.pe/frutas-y-verduras","Verduras","https://www.plazavea.com.pe/frutas-y-verduras/verduras?PS=24","Hongos y Setas (6)","https://www.plazavea.com.pe/frutas-y-verduras/verduras/hongos-y-setas?PS=24","Champiñones Picados PACCU Bandeja 200g","https://www.plazavea.com.pe/champinones-picados-paccu-bandeja-200g/p","Champiñones Picados PACCU Bandeja 200g","5",".30"
"1572319857-124","https://www.plazavea.com.pe/frutas-y-verduras","Verduras","https://www.plazavea.com.pe/frutas-y-verduras/verduras?PS=24","Verduras Picadas y Preparadas (23)","https://www.plazavea.com.pe/frutas-y-verduras/verduras/verduras-picadas-y-preparadas?PS=24","Berros Hidropónicos VERDE PURO Táper 120g","https://www.plazavea.com.pe/berros-hidroponicos-verde-puro-taper-120g/p","Berros Hidropónicos VERDE PURO Táper 120g","8",".99"
"1572319926-141","https://www.plazavea.com.pe/frutas-y-verduras","Verduras","https://www.plazavea.com.pe/frutas-y-verduras/verduras?PS=24","Verduras Picadas y Preparadas (23)","https://www.plazavea.com.pe/frutas-y-verduras/verduras/verduras-picadas-y-preparadas?PS=24","Cebolla Picada LA FLORENCIA Bandeja 200g","https://www.plazavea.com.pe/cebolla-picada-la-florencia-bandeja-200g/p","Cebolla Picada LA FLORENCIA Bandeja 200g","6",".99"
"1572320111-174","https://www.plazavea.com.pe/frutas-y-verduras","Verduras","https://www.plazavea.com.pe/frutas-y-verduras/verduras?PS=24","Tomate, Pepino, Pimiento y Rocoto (7)","https://www.plazavea.com.pe/frutas-y-verduras/verduras/tomate-pepino-pimiento-y-rocoto?PS=24","Pimiento Morrón","https://www.plazavea.com.pe/pimiento-morron/p","Pimiento Morrón","5",".99"
"1572320182-188","https://www.plazavea.com.pe/frutas-y-verduras","Verduras","https://www.plazavea.com.pe/frutas-y-verduras/verduras?PS=24","Hierbas e Infusiones (5)","https://www.plazavea.com.pe/frutas-y-verduras/verduras/hierbas-e-infusiones?PS=24","Hierba Buena x unidad","https://www.plazavea.com.pe/hierba-buena-x-unidad/p","Hierba Buena x unidad","1",".49"
"1572320052-161","https://www.plazavea.com.pe/frutas-y-verduras","Verduras","https://www.plazavea.com.pe/frutas-y-verduras/verduras?PS=24","Zanahoria, Beterraga, Rabanito y Otras Raíces (5)","https://www.plazavea.com.pe/frutas-y-verduras/verduras/zanahoria-beterraga-rabanito-y-otras-raices?PS=24","Rabanito LA FLORENCIA Bolsa 400g","https://www.plazavea.com.pe/rabanito-la-florencia-bolsa-400g/p","Rabanito LA FLORENCIA Bolsa 400g","2",".50"
"1572320305-209","https://www.plazavea.com.pe/frutas-y-verduras","Verduras","https://www.plazavea.com.pe/frutas-y-verduras/verduras?PS=24","Apio, Espárrago y Otros Tallos (5)","https://www.plazavea.com.pe/frutas-y-verduras/verduras/apio-esparrago-y-otros-tallos?PS=24","Poro x unidad","https://www.plazavea.com.pe/poro-x-unidad/p","Poro x unidad","1",".49"
"1572320198-191","https://www.plazavea.com.pe/frutas-y-verduras","Verduras","https://www.plazavea.com.pe/frutas-y-verduras/verduras?PS=24","Lechuga, Espinaca y Hojas Verdes (19)","https://www.plazavea.com.pe/frutas-y-verduras/verduras/lechuga-espinaca-y-hojas-verdes?PS=24","Lechuga Americana VITTAFRESH Bolsa Unidad","https://www.plazavea.com.pe/lechuga-americana-vittafresh-bolsa-unidad/p","Lechuga Americana VITTAFRESH Bolsa Unidad","3",".70"
"1572320552-255","https://www.plazavea.com.pe/frutas-y-verduras","Frutas","https://www.plazavea.com.pe/frutas-y-verduras/frutas?PS=24","Maracuyá, Granadilla y Tumbo (3)","https://www.plazavea.com.pe/frutas-y-verduras/frutas/maracuya-granadilla-y-tumbo?PS=24","Maracuyá","https://www.plazavea.com.pe/maracuya/p","Maracuyá","3",".99"
"1572320174-186","https://www.plazavea.com.pe/frutas-y-verduras","Verduras","https://www.plazavea.com.pe/frutas-y-verduras/verduras?PS=24","Hierbas e Infusiones (5)","https://www.plazavea.com.pe/frutas-y-verduras/verduras/hierbas-e-infusiones?PS=24","Culantro x unidad","https://www.plazavea.com.pe/culantro-x-unidad/p","Culantro x unidad","1",".50"
